time_utc,station_id,measured_doppler_hz,theoretical_before_hz,theoretical_after_hz,residual_before_hz,residual_after_hz,improvement_hz
2014-01-02 21:00:03.500000+00:00,26,-212.716028213,1097.1350650787354,1103.5863523483276,1309.8510932917354,1316.3023805613277,-6.451287269592285
2014-01-02 21:00:08.500000+00:00,26,-208.097996711,1097.1348524093628,1103.5864725112915,1305.2328491203627,1311.6844692222915,-6.451620101928711
2014-01-02 21:00:13.500000+00:00,26,-203.376012801,1097.1346397399902,1103.5865907669067,1300.5106525409901,1306.9626035679066,-6.451951026916504
2014-01-02 21:00:18.500000+00:00,26,-198.815191268,1097.1344270706177,1103.586709022522,1295.9496183386177,1302.401900290522,-6.452281951904297
2014-01-02 21:00:23.500000+00:00,26,-194.159234046,1097.1342124938965,1103.5868310928345,1291.2934465398964,1297.7460651388344,-6.452618598937988
2014-01-02 21:00:28.500000+00:00,26,-189.528640746,1097.1340017318726,1103.5869512557983,1286.6626424778726,1293.1155920017984,-6.452949523925781
2014-01-02 21:00:33.500000+00:00,26,-184.963571547,1097.1337881088257,1103.5870695114136,1282.0973596558256,1288.5506410584135,-6.453281402587891
2014-01-02 21:00:38.500000+00:00,26,-180.250211715,1097.1335763931274,1103.5871896743774,1277.3837881081274,1283.8374013893774,-6.45361328125
2014-01-02 21:00:43.500000+00:00,26,-175.7037611,1097.1333637237549,1103.5873079299927,1272.837124823755,1279.2910690299927,-6.453944206237793
2014-01-02 21:00:48.500000+00:00,26,-171.051175116,1097.133150100708,1103.5874280929565,1268.184325216708,1274.6386032089565,-6.454277992248535
2014-01-02 21:00:53.500000+00:00,26,-166.518353461,1097.1329383850098,1103.5875463485718,1263.6512918460098,1270.1058998095718,-6.454607963562012
2014-01-02 21:00:58.500000+00:00,26,-161.859703063,1097.132724761963,1103.5876665115356,1258.992427824963,1265.4473695745357,-6.454941749572754
2014-01-02 21:01:03.500000+00:00,26,-157.293213843,1097.132513999939,1103.5877885818481,1254.425727842939,1260.8810024248482,-6.45527458190918
2014-01-02 21:01:08.500000+00:00,26,-152.781564712,1097.1322984695435,1103.5879049301147,1249.9138631815435,1256.3694696421148,-6.455606460571289
2014-01-02 21:01:13.500000+00:00,26,-148.201397895,1097.1320867538452,1103.5880250930786,1245.3334846488451,1251.7894229880785,-6.455938339233398
2014-01-02 21:01:18.500000+00:00,26,-143.709060668,1097.1318759918213,1103.5881452560425,1240.8409366598212,1247.2972059240424,-6.456269264221191
